Cluster,Sentence,Motivo
2,"['dragonfli', 'wing', 'sparkl', 'like', 'gemston', 'sunlight']",Frases 2
2,"['triangl', 'simpl', 'requir', 'precis', 'time']",Frases 2
2,"['sequoia', 'tree', 'tall', 'seem', 'touch', 'sky']",Frases 2
2,"['microchip', 'small', 'could', 'embed', 'skin']",Frases 2
2,"['mimosa', 'plant', 'respond', 'touch', 'fold', 'leav']",Frases 2
2,"['porcupin', 'quill', 'could', 'detach', 'threaten']",Frases 2
2,"['dandelion', 'seed', 'head', 'form', 'delic', 'sphere', 'readi', 'carri', 'away', 'wind']",Frases 2
2,"['origami', 'crane', 'minut', 'intric', 'fold']",Frases 2
2,"['didgeridoo', 'produc', 'haunt', 'sound', 'deepli', 'root', 'aborigin', 'cultur']",Frases 2
2,"['virtual', 'realiti', 'headset', 'offer', 'immers', 'experi']",Frases 2
2,"['petal', 'rose', 'arrang', 'perfect', 'symmetri']",Frases 2
2,"['pickup', 'truck', 'toolbox', 'rack', 'carri', 'lumber']",Frases 2
2,"['dolphin', 'streamlin', 'shape', 'made', 'look', 'grace', 'water']",Frases 2
2,"['octopus', 'remark', 'intellig', 'solv', 'puzzl', 'easili']",Frases 2
2,"['length', 'train', 'seem', 'stretch', 'horizon']",Frases 2
2,"['tuba', 'larg', 'requir', 'seat', 'orchestra']",Frases 2
2,"['carnivor', 'pitcher', 'plant', 'lure', 'insect', 'dead', 'trap']",Frases 2
2,"['quilt', 'kaleidoscop', 'color', 'patch', 'tell', 'stori']",Frases 2
2,"['alo', 'vera', 'plant', 'known', 'medicin', 'qualiti']",Frases 2
2,"['anteat', 'long', 'tongu', 'special', 'consum', 'ant']",Frases 2
2,"['violin', 'look', 'petit', 'next', 'tower', 'doubl', 'bass']",Frases 2
2,"['spacecraft', 'equip', 'advanc', 'system']",Frases 2
2,"['graffiti', 'bright', 'splash', 'color', 'gray', 'concret', 'wall']",Frases 2
2,"['luxuri', 'car', 'sleek', 'design', 'turn', 'head', 'wherev', 'went']",Frases 2
2,"['school', 'bus', 'flaunt', 'icon', 'bright', 'yellow', 'captur', 'attent', 'immedi']",Frases 2
2,"['compar', 'bird', 'condor', 'wingspan', 'extraordinari']",Frases 2
2,"['cherri', 'blossom', 'delic', 'pink', 'symbol', 'arriv', 'spring']",Frases 2
2,"['saxophon', 'golden', 'hue', 'shimmer', 'stage', 'light']",Frases 2
2,"['stain', 'glass', 'window', 'display', 'array', 'color', 'danc', 'light']",Frases 2
2,"['lavend', 'sooth', 'purpl', 'color', 'fragranc']",Frases 2
2,"['drum', 'set', 'expans', 'seem', 'like', 'small', 'fortress']",Frases 2
2,"['compact', 'sedan', 'could', 'easili', 'slide', 'tightest', 'park', 'spot']",Frases 2
2,"['harmonica', 'mute', 'blue', 'beli', 'power', 'sound']",Frases 2
2,"['lotus', 'flower', 'float', 'eleg', 'water', 'pictur', 'seren']",Frases 2
2,"['compar', 'cargo', 'ship', 'jet', 'ski', 'appear', 'tini', 'minnow', 'pond']",Frases 2
2,"['size', 'blue', 'whale', 'dwarf', 'even', 'largest', 'ocean', 'vessel']",Frases 2
2,"['kazoo', 'often', 'underestim', 'could', 'add', 'uniqu', 'element', 'perform']",Frases 2
